Productos;Precio Kilo;Precio Unidad;Descripción;Categorías;Nombre;ID;
Acelga;11;11;;Verduras;acelga.jpg;1;si
Ají;14;14;;Verduras;aji_p.jpg;2;
Ajo;9;9;;Verduras;ajo.jpg;3;si
Albahaca;11;11;;Verduras;albahaca.jpg;4;si
Apio;14;14;;Verduras;apio.jpg;5;si
Arvejas;14;14;;Verduras;arvejas.jpg;6;
Camote;9;9;;Verduras;batata.jpg;7;
Berengena;34;34;;Verduras;berengenas.jpg;8;
Berro;23;23;;Verduras;berro.jpg;9;si
Brócoli;15;15;;Verduras;brocoli.jpg;10;si
Cebolla Común;52;52;;Verduras;cebolla_comun.jpg;11;
Cebolla Morada;21;21;;Verduras;cebolla_morada.jpg;12;
Cebolla de Verdeo;1;1;;Verduras;cebolla_verdeo.jpg;13;
Champignon;35;35;;Verduras;champignon.jpg;14;si
Choclo;21;21;;Verduras;choclo.jpg;15;si
Ciboulette;11;11;;Verduras;ciboulette.jpg;16;si
Huevos;14;14;;Verduras;huevos.jpg;17;si
Lechuga Mantecosa;9;9;;Verduras;lechuga_mantecosa.jpg;18;si
Lechuga Morada;11;11;;Verduras;;19;si
Lechuga Rula;14;14;;Verduras;;20;si
Lechuga Arrepollada;9;9;;Verduras;;21;si
Palta;34;34;;Verduras;palta.jpg;22;
Papa Común;23;23;;Verduras;papa_comun.jpg;23;
Pepino;15;15;;Verduras;pepino.jpg;24;
Perejil;52;52;;Verduras;perejil.jpg;25;si
Pimiento Rojo;21;21;;Verduras;pimiento_rojo.jpg;26;si
Pimiento Verde;1;1;;Verduras;pimiento_verde.jpg;27;si
Puerro;35;35;;Verduras;puerro.jpg;28;si
Remolacha;21;21;;Verduras;remolacha.jpg;29;
Repollo Blanco;11;11;;Verduras;repollo_blanco.jpg;30;si
Repollo Morado;14;14;;Verduras;repollo_morado.jpg;31;si
Rúcula;9;9;;Verduras;rucula.jpg;32;si
Tomate Cherry;11;11;;Verduras;tomate_cherry.jpg;33;
Tomate Redondo;14;14;;Verduras;tomate_redondo.jpg;34;
Tomate Perita;9;9;;Verduras;tomate_perita.jpg;35;
Zanahoria;34;34;;Verduras;zanahoria.jpg;36;
Zapallito Redondo;23;23;;Verduras;zapallito_redondo.jpg;37;
Zapallo Zuccini;11;15;;Verduras;zapallito_zucchini.jpg;38;
Zapallo Inglés;14;52;;Verduras;zapallo_ingles;39;si
Zapallo Coreano;9;21;;Verduras;zapallo_coreano.jpg;40;
Ananá;11;1;;Frutas;Anan.jpg;41;si
Banana;14;35;;Frutas;banana.jpg;42;si
Cereza;9;21;;Frutas;Cereza.jpg;43;
Ciruela;34;11;;Frutas;Ciruela.jpg;44;
Durazno Amarillo;23;14;;Frutas;Durazno_Amarillo.jpg;45;
Durazno pelón;23;14;;Frutas;;46;
Durazno Blanco;23;14;;Frutas;;47;
Frutilla;15;9;;Frutas;Frutilla.jpg;48;si
Kiwi;52;11;;Frutas;Kiwi.jpg;49;
Limón;21;14;;Frutas;Limon.jpg;50;si
Manzana Roja;1;9;;Frutas;Manzana_R.jpg;51;
Manzana Verde;35;34;;Frutas;Manzana_V.jpg;52;
Melón;21;23;;Frutas;Melon_RM.jpg;53;si
Naranja;11;15;;Frutas;Naranja.jpg;54;
Pera;14;52;;Frutas;Pera_W.jpg;55;
Pomelo;9;21;;Frutas;Pomelo.jpg;56;si
Sandía;11;1;;Frutas;Sandia.jpg;57;si
;;;;;;;
