Productos;Precio Kilo;Precio Unidad;Descripción;Categorías;Nombre;ID;;Atributo
Acelga por unidad;11;11;;Verduras;acelga.jpg;1;;compra por unidad
Ají por kg;14;14;;Verduras;aji_p.jpg;2;;compra por kg
Ajo por unidad;9;9;;Verduras;ajo.jpg;3;;
Albahaca por unidad;11;11;;Verduras;albahaca.jpg;4;;
Apio por unidad;14;14;;Verduras;apio.jpg;5;;
Arvejas por kg;14;14;;Verduras;arvejas.jpg;6;;
Camote por kg;9;9;;Verduras;batata.jpg;7;;
Berengena por kg;34;34;;Verduras;berengenas.jpg;8;;
Berro por unidad;23;23;;Verduras;berro.jpg;9;;
Brócoli por unidad;15;15;;Verduras;brocoli.jpg;10;;
Cebolla Común por kg;52;52;;Verduras;cebolla_comun.jpg;11;;
Cebolla Morada por kg;21;21;;Verduras;cebolla_morada.jpg;12;;
Cebolla de Verdeo;1;1;;Verduras;cebolla_verdeo.jpg;13;;
Champignon por kg;35;35;;Verduras;champignon.jpg;14;;
Choclo por unidad;21;21;;Verduras;choclo.jpg;15;;
Ciboulette por unidad;11;11;;Verduras;ciboulette.jpg;16;;
Huevos por unidad;14;14;;Verduras;huevos.jpg;17;;
Lechuga por unidad;9;9;;Verduras;lechuga_mantecosa.jpg;18;;
Lechuga Morada por unidad;11;11;;Verduras;;19;;
Lechuga Rula por unidad;14;14;;Verduras;;20;;
Lechuga Arrepollada por unidad;9;9;;Verduras;;21;;
Palta por kg;34;34;;Verduras;palta.jpg;22;;
Papa Común por kg;23;23;;Verduras;papa_comun.jpg;23;;
Pepino por kg;15;15;;Verduras;pepino.jpg;24;;
Perejil por unidad;52;52;;Verduras;perejil.jpg;25;;
Pimiento Rojo por unidad;21;21;;Verduras;pimiento_rojo.jpg;26;;
Pimiento Verde por unidad;1;1;;Verduras;pimiento_verde.jpg;27;;
Puerro por unidad;35;35;;Verduras;puerro.jpg;28;;
Remolacha por kg;21;21;;Verduras;remolacha.jpg;29;;
Repollo Blanco por unidad;11;11;;Verduras;repollo_blanco.jpg;30;;
Repollo Morado por unidad;14;14;;Verduras;repollo_morado.jpg;31;;
Rúcula por unidad;9;9;;Verduras;rucula.jpg;32;;
Tomate Cherry por kg;11;11;;Verduras;tomate_cherry.jpg;33;;
Tomate Redondo por kg;14;14;;Verduras;tomate_redondo.jpg;34;;
Tomate Perita por kg;9;9;;Verduras;tomate_perita.jpg;35;;
Zanahoria por kg;34;34;;Verduras;zanahoria.jpg;36;;
Zapallito Redondo por kg;23;23;;Verduras;zapallito_redondo.jpg;37;;
Zapallo Zuccini por kg;11;15;;Verduras;zapallito_zucchini.jpg;38;;
Zapallo Inglés por unidad;14;52;;Verduras;zapallo_ingles;39;;
Zapallo Coreano por unidad;9;21;;Verduras;zapallo_coreano.jpg;40;;
Ananá por unidad;11;1;;Frutas;Anan.jpg;41;;
Banana por kg;14;35;;Frutas;banana.jpg;42;;
Cereza por kg;9;21;;Frutas;Cereza.jpg;43;;
Ciruela por kg;34;11;;Frutas;Ciruela.jpg;44;;
Durazno Amarillo por kg;23;14;;Frutas;Durazno_Amarillo.jpg;45;;
Durazno pelón por kg;23;14;;Frutas;;46;;
Durazno Blanco por kg;23;14;;Frutas;;47;;
Frutilla por kg;15;9;;Frutas;Frutilla.jpg;48;;
Kiwi por kg;52;11;;Frutas;Kiwi.jpg;49;;
Limón por unidad;21;14;;Frutas;Limon.jpg;50;;
Manzana Roja por kg;1;9;;Frutas;Manzana_R.jpg;51;;
Manzana Verde por kg;35;34;;Frutas;Manzana_V.jpg;52;;
Melón por unidad;21;23;;Frutas;Melon_RM.jpg;53;;
Naranja por kg;11;15;;Frutas;Naranja.jpg;54;;
Pera por kg;14;52;;Frutas;Pera_W.jpg;55;;
Pomelo por unidad;9;21;;Frutas;Pomelo.jpg;56;;
Sandía por kg;11;1;;Frutas;Sandia.jpg;57;;
;;;;;;;;
